DOID:332	S000003865	15488469	HGNC:11179
DOID:162	S000001596	18443037	HGNC:3650
DOID:0014667	S000001079	8621661	HGNC:406
DOID:162	S000002862	26354769	HGNC:4693
DOID:162	S000004542	26354769	HGNC:19894
DOID:0050730	S000004578	25152161	HGNC:28722
DOID:10584	S000006162	18376416	HGNC:10274
DOID:700	S000004241	20042463	
DOID:8712	S000005441	2121371	HGNC:7765
DOID:0050730	S000005324	17332895	HGNC:25223
DOID:0050570	S000001311	20637498	HGNC:25812
DOID:2747	S000003472	7825568	HGNC:8877
DOID:14789	S000000458	14597397	HGNC:23068
DOID:0060479	S000004012	23792098	
DOID:162	S000005762	26354769	HGNC:2861
DOID:8712	S000005441	2121369	HGNC:7765
DOID:12705	S000002278	17027502	HGNC:3951
DOID:8712	S000000344	2121369	HGNC:7765
DOID:0050756	S000003595	14660799	HGNC:2074
DOID:906	S000004181	9480815	HGNC:8855
DOID:162	S000002998	26354769	HGNC:10333
DOID:0050526	S000002283	22961002	HGNC:4912
DOID:8955	S000000970	25193871	HGNC:17341
DOID:9870	S000000223	22613355	HGNC:4116
DOID:3687	S000007324	12524521	HGNC:7490
DOID:705	S000004589	17320357	HGNC:7459
DOID:4752	S000005324	23758206	HGNC:25223
DOID:0050427	S000000973	7629061	HGNC:3434
DOID:0050570	S000006148	10359825	HGNC:20266
DOID:162	S000000935	26354769	HGNC:9281
DOID:0014667	S000001876	21930696	HGNC:2898
DOID:162	S000000788	23716719	HGNC:24969
DOID:162	S000003307	26354769	HGNC:25512
DOID:10629	S000000037	11827457	HGNC:4837
DOID:0080108	S000004775	22481384	HGNC:13345
DOID:0050570	S000005528	10914684	HGNC:23157
DOID:162	S000003509	26354769	HGNC:29932
DOID:1838	S000002678	18752978	HGNC:869
DOID:162	S000003256	26354769	HGNC:26053
DOID:14789	S000004065	26290468	HGNC:10298
DOID:0080108	S000004775	18817903	HGNC:13345
DOID:162	S000002812	26354769	HGNC:9194
DOID:0050429	S000003135	11741891	HGNC:13211
DOID:14501	S000005844	24269233	HGNC:29567
DOID:12377	S000002678	20170900	HGNC:869
DOID:162	S000006038	26354769	HGNC:5387
DOID:162	S000000784	26354769	HGNC:8907
DOID:162	S000004821	26354769	HGNC:7530
DOID:700	S000006228	10930580	HGNC:12843
DOID:3119	S000004022	18316726	HGNC:11099
DOID:162	S000000233	26354769	HGNC:1801
DOID:0050730	S000003087	18319072	HGNC:16812
DOID:162	S000002222	26354769	HGNC:12485
DOID:162	S000001516	26354769	HGNC:29029
DOID:0050730	S000005324	17374725	HGNC:25223
DOID:700	S000000855	17273968	HGNC:10989
DOID:10579	S000000827	23335982	HGNC:3267
DOID:162	S000000914	26354769	HGNC:17259
DOID:13382	S000004227	10074490	HGNC:10938
DOID:162	S000001496	26354769	HGNC:707
DOID:162	S000001345	26354769	HGNC:25686
DOID:3204	S000003487	24763291	HGNC:20233
DOID:0050570	S000005163	15945070	HGNC:15672
DOID:14330	S000003690	24740878	HGNC:13487
DOID:0050720	S000005656	25818551	HGNC:10985
DOID:0050730	S000004191	19375058	HGNC:25302
DOID:893	S000002678	9261163	HGNC:870
DOID:0050759	S000005199	21232131	HGNC:13164
DOID:8712	S000000344	2121371	HGNC:7765
DOID:162	S000001877	26354769	HGNC:19980
DOID:893	S000002678	15963506	HGNC:870
DOID:1442	S000005857	25914719	HGNC:9179
DOID:5212	S000000314	24157261	HGNC:18294
DOID:0050773	S000003964	19261679	HGNC:10681
DOID:0050585	S000004396	24434579	HGNC:15832
DOID:0050570	S000005528	10359825	HGNC:23157
DOID:9351	S000002200	24349441	HGNC:14929
DOID:9252	S000001340	25416776	HGNC:11572
DOID:0050429	S000002974	15610533	HGNC:13211
DOID:162	S000005005	26196125	HGNC:7867
DOID:162	S000006286	26354769	HGNC:30551
DOID:1442	S000005857	24398692	HGNC:9179
DOID:0050977	S000004695	20208537	HGNC:315
DOID:2750	S000000737	8463281	HGNC:4180
DOID:1289	S000005568	25042851	HGNC:16476
DOID:0050757	S000007348	11956200	HGNC:11817
DOID:162	S000002918	26354769	HGNC:12502
DOID:0050756	S000003595	10749980	HGNC:2074
DOID:2717	S000004802	9671747	HGNC:13884
DOID:699	S000005752	24573684	HGNC:29882
DOID:1909	S000003084	25788131	HGNC:1723
DOID:1838	S000002678	11373292	HGNC:869
DOID:162	S000000896	26354769	HGNC:9540
DOID:1485	S000001247	15215312	HGNC:18967
DOID:0050757	S000007348	11489896	HGNC:11817
DOID:10112	S000003110	10954751	HGNC:8959
DOID:0050570	S000005593	15235028	HGNC:23161
DOID:0050476	S000006344	12930833	HGNC:11577
DOID:162	S000004931	26354769	HGNC:9530
DOID:0050958	S000003034	15932941	HGNC:10560
DOID:0110164	S000000325	24743154	HGNC:4162
DOID:9263	S000003387	8528202	HGNC:214
DOID:162	S000002493	26354769	HGNC:18277
DOID:162	S000000116	26354769	HGNC:18276
DOID:10579	S000006158	23335982	HGNC:3266
DOID:3911	S000004526	23657261	HGNC:26220
DOID:3911	S000003878	22718200	HGNC:12877
DOID:1415	S000004430	23076989	HGNC:8091
DOID:3146	S000001717	23308274	HGNC:5213
DOID:162	S000004534	26354769	HGNC:11327
DOID:700	S000001538	25203508	HGNC:25891
DOID:162	S000000688	29654124	HGNC:7326
DOID:9169	S000005707	19817875	HGNC:12731
DOID:9169	S000005707	16488394	HGNC:12731
DOID:162	S000003633	26354769	HGNC:9640
DOID:1852	S000006225	24586645	HGNC:10983
DOID:162	S000001015	23716719	HGNC:14124
DOID:0050476	S000006344	15304507	HGNC:11577
DOID:9263	S000003387	8022826	HGNC:1550
DOID:10588	S000006068	21145416	HGNC:61
DOID:898	S000003261	8575761	HGNC:4236
DOID:5212	S000002352	25066056	HGNC:21042
DOID:700	S000004241	20042463	HGNC:7224
DOID:8712	S000000344	8264648	HGNC:17397
DOID:3369	S000005472	14521938	HGNC:16858
DOID:0060275	S000001133	22569581	HGNC:21406
DOID:162	S000005669	26354769	HGNC:17358
DOID:10579	S000003767	23335982	HGNC:3265
DOID:10283	S000002200	24349441	HGNC:14929
DOID:12705	S000002278	9241271	HGNC:3951
DOID:12849	S000004065	16940977	HGNC:10298
DOID:2351	S000002278	15130665	HGNC:3999
DOID:10223	S000005862	7761427	HGNC:20
DOID:2476	S000004695	14623864	HGNC:11237
DOID:8955	S000002277	27476175	HGNC:26054
DOID:14330	S000002200	24349441	HGNC:14929
DOID:0110184	S000005269	17572665	HGNC:16873
DOID:0050729	S000004089	18606822	HGNC:21396
DOID:1612	S000006041	10604474	HGNC:1034
DOID:0050756	S000003595	9618513	HGNC:2074
DOID:9870	S000000223	18188677	HGNC:4116
DOID:162	S000003407	26354769	HGNC:11279
DOID:2977	S000001864	18782763	HGNC:341
DOID:3652	S000001631	7550341	HGNC:10680
DOID:2717	S000001207	12826610	HGNC:1058
DOID:162	S000002616	26354769	HGNC:8994
DOID:162	S000002364	26354769	HGNC:4982
DOID:162	S000003417	26354769	HGNC:12840
DOID:1891	S000004295	25351951	HGNC:118
DOID:9263	S000003387	22267502	HGNC:1550
DOID:700	S000003048	22628558	HGNC:21606
DOID:5688	S000001207	15282207	HGNC:12791
DOID:0050720	S000005656	24721342	HGNC:10985
DOID:10588	S000001671	21145416	HGNC:61
DOID:162	S000006317	26354769	HGNC:1769
DOID:0060879	S000005490	19717468	HGNC:28880
DOID:162	S000000752	26354769	HGNC:7819
DOID:0050570	S000005163	15148656	HGNC:15672
DOID:332	S000005648	24920614	HGNC:8881
DOID:0050977	S000000819	20208537	HGNC:315
DOID:2960	S000000973	7629061	HGNC:3434
DOID:162	S000000206	26354769	HGNC:20603
DOID:162	S000001518	26354769	HGNC:12527
DOID:1415	S000004430	8281144	HGNC:8091
DOID:1852	S000006225	23053473	HGNC:10983
DOID:162	S000002644	26354769	HGNC:30324
DOID:0050427	S000002827	11743006	HGNC:9181
DOID:2747	S000004818	7825568	HGNC:8877
DOID:162	S000002203	26354769	HGNC:24671
DOID:12858	S000004771	14657499	HGNC:14884
DOID:2476	S000000819	14623864	HGNC:315
DOID:3911	S000005857	24398692	HGNC:9179
DOID:14219	S000000331	18368028	HGNC:853
DOID:0050570	S000005528	10924277	HGNC:23157
DOID:0050563	S000003205	12011058	HGNC:19261
DOID:162	S000005675	26354769	HGNC:30596
DOID:5688	S000004802	9671747	HGNC:12791
DOID:12558	S000000126	16438935	HGNC:10990
DOID:1838	S000002678	9452509	HGNC:869
