15:S000000313	DOID:162	HGNC:1445	26354769      <
16:S000000313	DOID:162	HGNC:1449	26354769      <
29:S000000364	DOID:162	HGNC:1771	25541464      <
30:S000000364	DOID:162	HGNC:1771	26354769      <
34:S000000458	DOID:14789	HGNC:26432	14597397      <
36:S000000605	DOID:162	HGNC:8898	26354769      <
44:S000000819	DOID:2476	HGNC:11237	14623864      <
51:S000000935	DOID:162	HGNC:9283	26354769      <
63:S000001207	DOID:2717	HGNC:2939	12826610      <
81:S000001671	DOID:10588	HGNC:66	21145416	      <
82:S000001672	DOID:162	HGNC:20290	26354769      <
118:S000002536	DOID:12858	HGNC:9091	16115810      <
120:S000002616	DOID:162	HGNC:8995	26354769      <
222:S000004775	DOID:0080108	HGNC:14450	22481384      <
223:S000004775	DOID:0080108	HGNC:14451	22481384      <
232:S000004860	DOID:14501	HGNC:10996	24269233      <
233:S000004860	DOID:14501	HGNC:10998	24269233      <
234:S000004860	DOID:14501	HGNC:16496	24269233      <
235:S000004860	DOID:14501	HGNC:16526	24269233      <
238:S000004860	DOID:14501	HGNC:3570	24269233      <
239:S000004860	DOID:14501	HGNC:3571	24269233      <
266:S000005490	DOID:0060879	HGNC:30242	19717468      <
286:S000005844	DOID:14501	HGNC:10996	24269233      <
287:S000005844	DOID:14501	HGNC:10998	24269233      <
288:S000005844	DOID:14501	HGNC:16496	24269233      <
289:S000005844	DOID:14501	HGNC:16526	24269233      <
292:S000005844	DOID:14501	HGNC:3570	24269233      <
293:S000005844	DOID:14501	HGNC:3571	24269233      <
308:S000006068	DOID:10588	HGNC:66	21145416	      <
